,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
6746,5.70309345281487e+17,positive,0.6469,,,Delta,jaxbra,0,yesterday way ewr fll takeoff wheelsup jetbluesofly,,2015-02-24 11:48:38 -0800,east brunswick nj,Atlantic Time (Canada)
6747,5.70309308937843e+17,neutral,0.6869,,,Delta,Oneladyyouadore,0,hope fly often would hate change airline,,2015-02-24 11:48:29 -0800,georgia,Quito
6748,5.70308513181905e+17,neutral,1.0,,,Delta,Oneladyyouadore,0,flight 1041 savannah ga,,2015-02-24 11:45:20 -0800,georgia,Quito
6749,5.70307820962374e+17,negative,1.0,Flight Attendant Complaints,0.6522,Delta,Oneladyyouadore,0,werent flight came late flight jetblue employee informed u,,2015-02-24 11:42:34 -0800,georgia,Quito
6750,5.70305363859407e+17,negative,1.0,Bad Flight,1.0,Delta,Oneladyyouadore,0,everyone pilot found last flight plane dirty clean area amp seat,,2015-02-24 11:32:49 -0800,georgia,Quito
6751,5.70305098557092e+17,neutral,0.6472,,0.0,Delta,culinarymindz,0,update flight 462 would appreciated time thanks,,2015-02-24 11:31:45 -0800,,
6752,5.70304873620746e+17,neutral,0.6939,,,Delta,kbosspotter,0,check dm please,,2015-02-24 11:30:52 -0800,logan international airport,Atlantic Time (Canada)
6753,5.70303683872887e+17,negative,1.0,Flight Booking Problems,0.6921,Delta,heyheyman,0,hey guy last flight earn 0 pt,,2015-02-24 11:26:08 -0800,boston ma,Eastern Time (US & Canada)
6754,5.70299924555956e+17,negative,1.0,Can't Tell,1.0,Delta,erinkphares,0,2 aisle empty evermoreroom seat cant move bc didnt pay nonsense waste jetblue jetbluebos cheap,,2015-02-24 11:11:12 -0800,,
6755,5.70297402281894e+17,negative,0.6913,Flight Attendant Complaints,0.3499,Delta,chuck_martin,0,marty st george really zero clue still job nobaggagefees,,2015-02-24 11:01:10 -0800,sf bay area,Pacific Time (US & Canada)
6756,5.70296417094373e+17,negative,1.0,Flight Booking Problems,0.6631,Delta,Marty_H,0,booked tomorrow 250 higher 1st reservation pgfryz get standby list 4 tonight would help,,2015-02-24 10:57:16 -0800,,Eastern Time (US & Canada)
6757,5.70296110633382e+17,neutral,1.0,,,Delta,johnfmartin67,0,submitted hoping quick decision tied another donation received proposal 27th annual gala org boundless reader,,2015-02-24 10:56:03 -0800,chicago,Newfoundland
6758,5.70295207763317e+17,negative,1.0,Cancelled Flight,1.0,Delta,Marty_H,0,cancelled flighting flight pushing next day id lose 150 hotel trying get sameday flight,,2015-02-24 10:52:27 -0800,,Eastern Time (US & Canada)
6759,5.7029446047676e+17,positive,0.6994,,,Delta,Sujecuevas19,0,thank information,,2015-02-24 10:49:29 -0800,,Athens
6760,5.70293674472559e+17,neutral,0.649,,0.0,Delta,idk_but_youtube,0,know suicide second leading cause death among teen 1024,,2015-02-24 10:46:22 -0800,11 loner squad,Eastern Time (US & Canada)
6761,5.70293669628158e+17,neutral,1.0,,,Delta,Sujecuevas19,0,ok dominican republic number,,2015-02-24 10:46:21 -0800,,Athens
6762,5.70292360749453e+17,negative,0.6634,Flight Booking Problems,0.6634,Delta,tahlia_simpson,0,ive tried phone laptop,,2015-02-24 10:41:08 -0800,,
6763,5.70292174044201e+17,negative,1.0,Cancelled Flight,1.0,Delta,Marty_H,0,cancelled flighted flight went another airline 2 leave 2day cancelled flighted also called jetblue amp got flight 250,,2015-02-24 10:40:24 -0800,,Eastern Time (US & Canada)
6764,5.70291934306169e+17,neutral,0.6638,,,Delta,muneca641,0,sale please soon need tan,,2015-02-24 10:39:27 -0800,,Quito
6765,5.70291828349669e+17,neutral,0.6364,,,Delta,theREAL_Tiffany,0,yeah im looking specific date keep checking daily fare drop,,2015-02-24 10:39:02 -0800,somewhere eating swine,Eastern Time (US & Canada)
6766,5.7029181708793e+17,neutral,1.0,,,Delta,Sujecuevas19,0,hello good afternoon need know much flying summer june 13th,,2015-02-24 10:38:59 -0800,,Athens
