airline_sentiment,airline_sentiment_confidence,text,negativereason_confidence,sentimiento_nb,sentimiento_dt
positive,0.6469,yesterday way ewr fll takeoff wheelsup jetbluesofly,,positive,neutral
neutral,0.6869,hope fly often would hate change airline,,neutral,neutral
neutral,1.0,flight 1041 savannah ga,,neutral,negative
negative,1.0,werent flight came late flight jetblue employee informed u,0.6522,negative,negative
negative,1.0,everyone pilot found last flight plane dirty clean area amp seat,1.0,negative,negative
neutral,0.6939,check dm please,,neutral,neutral
negative,1.0,hey guy last flight earn 0 pt,0.6921,negative,negative
negative,0.6913,marty st george really zero clue still job nobaggagefees,0.3499,negative,neutral
negative,1.0,booked tomorrow 250 higher 1st reservation pgfryz get standby list 4 tonight would help,0.6631,neutral,neutral
neutral,1.0,submitted hoping quick decision tied another donation received proposal 27th annual gala org boundless reader,,negative,neutral
negative,1.0,cancelled flighting flight pushing next day id lose 150 hotel trying get sameday flight,1.0,negative,negative
positive,0.6994,thank information,,positive,positive
neutral,1.0,ok dominican republic number,,neutral,neutral
negative,1.0,cancelled flighted flight went another airline 2 leave 2day cancelled flighted also called jetblue amp got flight 250,1.0,negative,negative
neutral,0.6638,sale please soon need tan,,neutral,neutral
neutral,1.0,hello good afternoon need know much flying summer june 13th,,neutral,neutral
negative,1.0,upset lack communication weve received time flight 1170 mco,0.6647,negative,negative
negative,1.0,ive spent three hour talking different people couldnt help probably wont using jetblue,1.0,negative,negative
positive,1.0,great,,positive,positive
positive,0.6551,thanks great recap wouldnt able sleep nervous bad guy getting away,,positive,positive
positive,1.0,flight 117 proud fly jet blue,,positive,negative
positive,0.6673,awesome thanks hold,0.0,positive,positive
neutral,0.6522,im sure anything help thatd great,,positive,neutral
negative,1.0,call back five time get someone phone knew time getaway went 200,1.0,negative,neutral
negative,1.0,cant book flight outdated forced optin verified visa nonsense help girl want get,0.6651,negative,negative
positive,0.3474,chance actually flying charleston today cold rainy weather south place,0.0,positive,neutral
negative,0.6747,poop barely work,0.6747,negative,neutral
positive,1.0,thanks quick reply wanted make sure wasnt account,,positive,positive
negative,1.0,wifi lie hate,0.6842,negative,neutral
negative,0.657,issue website logging app know entering info correctly sign,0.348,negative,neutral
negative,1.0,trouble signing trueblue today despite right credential getting able sign msg,1.0,negative,neutral
positive,1.0,wouldnt mind paying snack tix great job guy,,positive,positive
negative,1.0,appreciate credit trouble lack personal response trouble,1.0,negative,neutral
neutral,1.0,yer deal never seem include nycgtpdx nycgtpghwish,,neutral,neutral
neutral,0.6609,thank headed lbc oak,,neutral,positive
positive,1.0,go napkin pretty much say,,neutral,neutral
positive,1.0,wed sure love see ruth justdoit youknowyouwantto know well,,positive,neutral
neutral,0.6454,love youll never work day life,,positive,neutral
neutral,0.6667,drop 75 take two people vice versa back forth,0.0,negative,neutral
positive,0.6578,longing look blue eye firstlove,,positive,neutral
neutral,0.6765,please start flying guyana soon,,neutral,neutral
positive,1.0,wowthx thinking u greg heard sobewff amazing weve heard p thx info teamnkh,,neutral,neutral
positive,1.0,annnndddd booked flight easy,,negative,negative
neutral,1.0,fleet fleek,,neutral,neutral
positive,0.6848,thank much,,positive,positive
