tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,,,
5.70309345281487e+17,positive,0.6469,,,Delta,jaxbra,0,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j",,2015-02-24 11:48:38 -0800,"east brunswick, nj",Atlantic Time (Canada),,,
5.70309308937843e+17,neutral,0.6869,,,Delta,Oneladyyouadore,0,@JetBlue I hope so because I fly very often and would hate to change airlines.,,2015-02-24 11:48:29 -0800,Georgia,Quito,,,
5.70308513181905e+17,neutral,1.0,,,Delta,Oneladyyouadore,0,"@JetBlue flight 1041 to Savannah, GA",,2015-02-24 11:45:20 -0800,Georgia,Quito,,,
5.70307820962374e+17,negative,1.0,Flight Attendant Complaints,0.6522,Delta,Oneladyyouadore,0,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",,2015-02-24 11:42:34 -0800,Georgia,Quito,,,
5.70305363859407e+17,negative,1.0,Bad Flight,1.0,Delta,Oneladyyouadore,0,@JetBlue everyone is here but our pilots are no where to be found and my last flight the plane was dirty that I had to clean my area &amp, seat!,,2015-02-24 11:32:49 -0800,Georgia,,,
5.70305098557092e+17,neutral,0.6472,,0.0,Delta,culinarymindz,0,"@JetBlue update on Flight 462 would be appreciated when you have time, thanks",,2015-02-24 11:31:45 -0800,,,,,
5.70304873620746e+17,neutral,0.6939,,,Delta,kbosspotter,0,@JetBlue check DM please :),,2015-02-24 11:30:52 -0800,Logan International Airport,Atlantic Time (Canada),,,
5.70303683872887e+17,negative,1.0,Flight Booking Problems,0.6921,Delta,heyheyman,0,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",,2015-02-24 11:26:08 -0800,"Boston, MA",Eastern Time (US & Canada),,,
5.70299924555956e+17,negative,1.0,Can't Tell,1.0,Delta,erinkphares,0,@JetBlue 2 aisles of empty #evermoreroom seats and we can't move bc we didn't pay?! #nonsense #Waste #JetBlue #jetbluebos #cheap,,2015-02-24 11:11:12 -0800,,,,,
5.70297402281894e+17,negative,0.6913,Flight Attendant Complaints,0.3499,Delta,chuck_martin,0,@JetBlue ’s Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw,,2015-02-24 11:01:10 -0800,SF Bay Area,Pacific Time (US & Canada),,,
5.70296417094373e+17,negative,1.0,Flight Booking Problems,0.6631,Delta,Marty_H,0,@JetBlue they booked me for tomorrow. It's $250 higher. My 1st reservation is PGFRYZ. Get me on standby list 4 tonight would help.,,2015-02-24 10:57:16 -0800,,Eastern Time (US & Canada),,,
5.70296110633382e+17,neutral,1.0,,,Delta,johnfmartin67,0,"@JetBlue Submitted, hoping for quick decision, tied to another donation we just received:
Proposal- 27th Annual Gala
Org- Boundless Readers",,2015-02-24 10:56:03 -0800,Chicago,Newfoundland,,,
