,text,airline_sentiment,nb_bow,nb_tfidf,dt_bow,dt_tfidf
8900,normal late flightst flight experi worst 2 hour runway wifi amp tv work properli,negative,negative,negative,negative,negative
4464,thank take good care peopl al,positive,positive,positive,positive,positive
7820,cours bestdress bluecarpet,positive,neutral,neutral,neutral,neutral
7326,oh right hundr peopl arriv back gate left minut ago sdq,negative,negative,negative,negative,negative
3056,alway make cross countri flight rad here babi flier charlott 8thtime5monthsold,positive,neutral,neutral,neutral,neutral
1541,need get albuquerqu nm usa cebu philippin im provid educ help 800 kid help,neutral,neutral,neutral,neutral,neutral
946,sell ticket terribl servic ua staff reach silver,negative,negative,negative,negative,negative
10706,flew u air first time yesterday got proposit flight attendanttru stori creditcardsal,negative,negative,negative,negative,negative
5672,800 intl friendli,negative,negative,negative,negative,negative
6525,amaz custom servic well definit fli guy instrument involv 1010,positive,positive,positive,positive,positive
5210,ball drop snowboard make destin totalfail letdown,negative,negative,negative,negative,negative
8697,drop new video upcom project thetakeov produc yponthebeat rt,neutral,neutral,neutral,neutral,neutral
4519,plea lower plane flight like 100 buck thank floridavac,neutral,neutral,neutral,neutral,neutral
9357,way treat woman want someon contact explain make accept,negative,negative,negative,negative,negative
11095,75 uncertainti know u run account u dont creat polici undu penalti job reqe flexibl,negative,negative,negative,negative,negative
8259,im get plane think deserv know mechan issu flight delay,negative,negative,negative,negative,negative
5445,got text flight cancel flightl help plea,negative,negative,negative,negative,negative
9154,disappoint bag arriv kept 12 hr without option iah,negative,negative,negative,negative,negative
1392,loyal premier platinum member lack commun realli bad also dont see taken yet,negative,negative,negative,negative,negative
7469,awesom bestairlineev,positive,positive,positive,positive,positive
7349,thank respons wait 5 hour realli frustrat seem like one jetblu concern,negative,negative,negative,negative,negative
9003,thank,positive,positive,positive,positive,positive
2153,1 layov itinerari swap 3 layov itinerari realli,negative,negative,negative,negative,negative
5662,airlin fli havent seen anyth like yet,negative,negative,negative,negative,negative
8427,wasnt 15 servic credit voucher receiv tv work accept next flight pillow,negative,negative,negative,negative,negative
317,cant check site look like everi time load,negative,negative,negative,negative,negative
10259,claim flight cancel flight due weather destin delta cancel flight flight rout,negative,negative,negative,negative,negative
1071,look beauti dc 10 unit airlin,positive,positive,positive,positive,positive
6636,ye thank oct 25oct 31,positive,positive,positive,positive,positive
4290,took aback respons flight attend put respons squar back passeng shoulder,negative,negative,negative,negative,negative
6494,know hard predict flight dalla nashvil tomorrow,neutral,neutral,neutral,neutral,neutral
6356,thank remind upcom trip florida realli didnt need,neutral,neutral,neutral,positive,positive
9960,got kid info 4565 dca bgr phone line tell call back late flightr,negative,negative,negative,negative,negative
8028,thank remind older flight id taken easi access add point new jb account awesom servic,positive,positive,positive,positive,positive
7068,fleet fleek,neutral,neutral,neutral,neutral,neutral
7233,yeah im awar henc origin msg,negative,negative,negative,negative,negative
7935,sorri plea ask inflght open seat move,neutral,neutral,neutral,neutral,neutral
10906,ive stand crowd bu past 30 min dcapit help,negative,negative,negative,negative,negative
9007,assur pleasant woman gate b11 albani ny life perfect id heard enough,negative,negative,negative,negative,negative
11991,know littl cold weather humor,neutral,neutral,neutral,neutral,neutral
2576,held plane made,positive,positive,positive,neutral,neutral
3366,onlin incheck abl netherland am,neutral,neutral,neutral,neutral,neutral
1217,late flight crew btv last nite delay today flt miss connect cun play hotel tonight ewr,negative,negative,negative,negative,negative
10758,found tix secur code work tri dozen time,negative,negative,negative,negative,negative
