,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
6746,5.70309345281487e+17,positive,0.6469,,,Delta,jaxbra,0,yesterday way ewr fll takeoff wheelsup jetbluesofly,"(40.4278841, -74.415984)",2015-02-24 11:48:38 -0800,"east brunswick, nj",Atlantic Time (Canada)
6747,5.70309308937843e+17,neutral,0.6869,,,Delta,Oneladyyouadore,0,hope fly often would hate change airline,"(32.3293809, -83.1137366)",2015-02-24 11:48:29 -0800,Georgia,Quito
6748,5.70308513181905e+17,neutral,1.0,,,Delta,Oneladyyouadore,0,flight 1041 savannah ga,"(32.3293809, -83.1137366)",2015-02-24 11:45:20 -0800,Georgia,Quito
6749,5.70307820962374e+17,negative,1.0,Flight Attendant Complaints,0.6522,Delta,Oneladyyouadore,0,werent flight came late flight jetblue employee informed u,"(32.3293809, -83.1137366)",2015-02-24 11:42:34 -0800,Georgia,Quito
6750,5.70305363859407e+17,negative,1.0,Bad Flight,1.0,Delta,Oneladyyouadore,0,everyone pilot found last flight plane dirty clean area amp seat,"(32.3293809, -83.1137366)",2015-02-24 11:32:49 -0800,Georgia,Quito
6752,5.70304873620746e+17,neutral,0.6939,,,Delta,kbosspotter,0,check dm please,"(42.36317665, -71.01364006269452)",2015-02-24 11:30:52 -0800,Logan International Airport,Atlantic Time (Canada)
6753,5.70303683872887e+17,negative,1.0,Flight Booking Problems,0.6921,Delta,heyheyman,0,hey guy last flight earn 0 pt,"(42.3554334, -71.060511)",2015-02-24 11:26:08 -0800,"Boston, MA",Eastern Time (US & Canada)
6755,5.70297402281894e+17,negative,0.6913,Flight Attendant Complaints,0.3499,Delta,chuck_martin,0,marty st george really zero clue still job nobaggagefees,"(37.7884969, -122.3558473)",2015-02-24 11:01:10 -0800,SF Bay Area,Pacific Time (US & Canada)
6756,5.70296417094373e+17,negative,1.0,Flight Booking Problems,0.6631,Delta,Marty_H,0,booked tomorrow 250 higher 1st reservation pgfryz get standby list 4 tonight would help,"(40.7587979, -73.9623427)",2015-02-24 10:57:16 -0800,,Eastern Time (US & Canada)
6757,5.70296110633382e+17,neutral,1.0,,,Delta,johnfmartin67,0,submitted hoping quick decision tied another donation received proposal 27th annual gala org boundless reader,"(41.8755616, -87.6244212)",2015-02-24 10:56:03 -0800,Chicago,Newfoundland
